activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2466714,CHEMBL477376,Cn1c(CN2C[C@@H]3C(COc4ccccc4)[C@@H]3C2)nc2ccccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,14.2,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466718,CHEMBL476790,c1ccc(OCC2[C@H]3CN(Cc4nc5cccc6c5n4CCC6)C[C@@H]23)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,17.3,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466719,CHEMBL476791,Cn1c(CN2C[C@@H]3C(COc4cccc(-c5ccccc5)c4)[C@@H]3C2)nc2ccccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,11.0,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466721,CHEMBL477169,CC(C)c1ccc(OCC2[C@H]3CN(Cc4nc5ccccc5n4C)C[C@@H]23)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,5.8,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466722,CHEMBL477170,Cn1c(CN2C[C@@H]3C(COc4ccc(Cl)cc4)[C@@H]3C2)nc2ccccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,6.6,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466723,CHEMBL477375,Cn1c(CN2C[C@@H]3C(COc4ccc(Cl)cc4F)[C@@H]3C2)nc2ccccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,6.9,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466725,CHEMBL514218,Cn1c(CN2C[C@@H]3C(COc4ccc(Cl)cn4)[C@@H]3C2)nc2ccccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,12.3,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466728,CHEMBL478646,Cn1c(CN2C[C@@H]3C(COc4ccc(C(F)(F)F)cc4)[C@@H]3C2)nc2ncccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,9.3,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466729,CHEMBL519817,Cn1c(CN2C[C@@H]3C(COc4ccc(C(F)(F)F)cc4)[C@@H]3C2)nc2cnccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,10.5,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466730,CHEMBL484398,Cn1c(CN2C[C@@H]3C(COc4ccccc4)[C@@H]3C2)nc2ccncc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,11.5,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
2466732,CHEMBL483570,Cn1c(CN2C[C@@H]3C(COc4cccc(Cl)c4)[C@@H]3C2)nc2ncccc21,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL992469,CHEMBL1142450,2008,CL,=,10.5,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as hepatic clearance at 1 uM,metabolic stability in human liver microsomes assessed as hepatic clearance at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
6224254,CHEMBL1783736,Cc1ccc(NC(=O)[C@H](CC2CCCC2)n2ccc(S(C)(=O)=O)cc2=O)nc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1788087,CHEMBL1782019,2009,CL,=,5.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsome at 1 uM by LC/MS/MS analysis,hepatic clearance in human liver microsome at 1 um by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
6224255,CHEMBL1783748,Cc1ccc(NC(=O)[C@H](CC2CCC(F)(F)CC2)n2ccc(S(=O)(=O)C(C)C)cc2=O)nc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1788087,CHEMBL1782019,2009,CL,=,8.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsome at 1 uM by LC/MS/MS analysis,hepatic clearance in human liver microsome at 1 um by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
6224256,CHEMBL1783758,CC(C)S(=O)(=O)c1ccn([C@@H](CC2CCCC2)C(=O)Nc2ccn(C)n2)c(=O)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1788087,CHEMBL1782019,2009,CL,=,10.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsome at 1 uM by LC/MS/MS analysis,hepatic clearance in human liver microsome at 1 um by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330752,CHEMBL2386636,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CCC#N)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.2,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330753,CHEMBL2386635,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.2,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330754,CHEMBL2386634,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@@H](C#N)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,4.3,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330755,CHEMBL2386633,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](C#N)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,3.3,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330756,CHEMBL2386632,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](NCC(F)(F)F)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.6,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330757,CHEMBL2385096,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@@H](NCC(F)(F)F)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,3.8,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330758,CHEMBL2386631,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@@H](NCC(F)(F)F)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,18.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330759,CHEMBL2386630,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](NCC(F)F)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,3.6,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330760,CHEMBL2386629,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](NCC(F)(F)F)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,3.3,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330761,CHEMBL2386628,CO[C@H]1CC[C@H](n2c([C@@H](C)O)nc3cnc4[nH]ccc4c32)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,1.3,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330762,CHEMBL2386627,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]1CCC[C@@H](O)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,1.4,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330763,CHEMBL2386626,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@@H](O)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,2.1,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330764,CHEMBL2386625,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](O)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,1.9,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330765,CHEMBL2386653,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CCCOC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,2.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330766,CHEMBL2386652,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]1CCCOC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,4.6,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330767,CHEMBL2386651,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1C1CCOCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,2.3,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330768,CHEMBL2386650,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]1CCCN(C(=O)CC(F)(F)F)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.2,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330769,CHEMBL2386649,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@@H]1CCCN(C(=O)CC#N)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,1.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330770,CHEMBL2386648,CCN1CCC(n2c([C@@H](C)O)nc3cnc4[nH]ccc4c32)C(F)(F)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,2.9,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330771,CHEMBL2386647,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1C1CCN(CCC#N)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,4.2,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330772,CHEMBL2386646,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1C1CCN(CC(F)(F)F)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,9.2,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330773,CHEMBL2386645,OC[C@@H](O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,1.8,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330774,CHEMBL2386643,CC[C@@H](O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,7.6,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330775,CHEMBL2386641,CC(C)(O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.8,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330776,CHEMBL2386640,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,4.5,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330777,CHEMBL2386638,OCCc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.3,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13330778,CHEMBL2386637,OCc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2390542,CHEMBL2385026,2013,CL,=,5.6,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes by LC/MS/MS analysis,hepatic clearance in human liver microsomes by lc/ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345969,CHEMBL2393173,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@H]2CCC[C@H](O)C2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,4.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345970,CHEMBL2393172,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H](O)CC2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,2.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345971,CHEMBL2393171,N[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,5.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345972,CHEMBL2393170,CCN1CC[C@@H](NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)[C@@H](F)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,6.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345973,CHEMBL2393169,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@@H]2CCNC[C@H]2F)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,3.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345974,CHEMBL2393168,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCNC(C(F)(F)F)CC2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,18.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345975,CHEMBL2393167,CC1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CCN1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,5.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345976,CHEMBL2393166,CC1CNCCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,8.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345977,CHEMBL2393165,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCCNCC2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,6.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345978,CHEMBL2393164,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCNCC3)C2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,2.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345979,CHEMBL2393163,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCNC3)CC2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,4.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345980,CHEMBL2393162,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCCN3)CC2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,7.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345981,CHEMBL2393161,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3(COC3)C2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,7.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345982,CHEMBL2393160,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC23COC3)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,8.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345983,CHEMBL2393159,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2CO3)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,3.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345984,CHEMBL2393158,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2C3CCC2COC3)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,8.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
13345985,CHEMBL2393191,C[C@@H]1COC[C@@H](C)N1S(=O)(=O)c1ccc(NC(=O)NCc2cccnc2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2396488,CHEMBL2390826,2013,CL,=,17.0,mL.min-1.kg-1,,,A,Hepatic clearance in human liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in human liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver microsomes | ml.min-1.kg-1,chembl_hlm_hepatic
